,title,new_price,list_price,rating,rating_count,img_url
38,"Corsair TM30 Performance Thermal Paste | Ultra-Low Thermal Impedance CPU/GPU | 3 Grams|w/applicator, silver",$7.99,$7.99,"17,469 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71PTBvDl23L._SL1500_.jpg
39,"WD 2TB My Passport Portable External Hard Drive with backup software and password protection, Black - WDBYVG0020BBK-WESN",$52.86,$79.99,"77,619 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/418I1gX3FFL._AC_SL1080_.jpg
40,Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,$21.99,$27.99,"21,764 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71exOjbZWiL._AC_SL1280_.jpg
41,"Crucial P3 500GB PCIe Gen3 3D NAND NVMe M.2 SSD, up to 3500MB/s - CT500P3SSD8",$36.99,$49.99,"2,732 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/51XuNS7R-lL._AC_SL1500_.jpg
42,Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache – Frustration Free Packaging (ST2000DM008/ST2000DMZ08),$49.99,$58.99,"101,715 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71Czt9ypIbL._AC_SL1500_.jpg
43,"Crucial MX500 2TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT2000MX500SSD1",$149.25,$199.99,"83,277 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81rg-38AdJL._AC_SL1500_.jpg
44,"Elgato HD60 X External Capture Card - Stream and record in 1080p60 HDR10 or 4K30 HDR10 with ultra-low latency on PS5, PS4/Pro, Xbox Series X/S, Xbox One X/S, in OBS and more, works with PC and Mac",$179.49,$199.99,"3,938 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51M6As4xKlL._AC_SL1000_.jpg
45,"SAMSUNG 980 PRO SSD 1TB PCIe 4.0 NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P1T0B",$129.99,$209.99,"22,528 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/713h+shZfQL._AC_SL1500_.jpg
46,"TP-Link AC1200 PCIe WiFi Card for PC (Archer T5E) - Bluetooth 4.2, Dual Band Wireless Network Card (2.4Ghz and 5Ghz) for Gaming, Streaming, Supports Windows 11/10, 8.1, 8, 7 (32/64-bit)",$29.99,$39.99,"7,676 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/415xhbxm8aL._AC_SL1000_.jpg
47,"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2X0E",$179.99,$289.99,"11,961 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61u-w0nMDTL._AC_SL1500_.jpg
48,"ARCTIC MX-4 (4 g) - Premium Performance Thermal Paste for all processors (CPU, GPU - PC, PS4, XBOX), very high thermal conductivity, long durability, safe application, non-conductive, non-capacitive",$6.99,$8.99,"64,190 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61j5yphfhXL._AC_SL1500_.jpg
49,"AMD Ryzen 7 5700G 8-Core, 16-Thread Unlocked Desktop Processor with Radeon Graphics",$178.00,$359.00,"3,759 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/51D3DrDmwkL._AC_SL1000_.jpg
