,title,new_price,list_price,rating,rating_count,img_url
0,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",$61.99,$66.72,"236,552 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/81tjLksKixL._AC_SL1500_.jpg
1,"Gotega External DVD Drive, USB 3.0 Portable CD/DVD +/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black",$18.76,$18.76,"44,555 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61FN+08I9PL._AC_SL1500_.jpg
2,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-2T00-G25",$149.99,$459.99,"37,189 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71cxm1e19BL._AC_SL1500_.jpg
3,"Samsung 970 EVO Plus SSD 2TB NVMe M.2 Internal Solid State Hard Drive, V-NAND Technology, Storage and Memory Expansion for Gaming, Graphics w/ Heat Control, Max Speed, MZ-V7S2T0B/AM",$153.90,$499.99,"46,081 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/51Brl+iYtvL._AC_SL1001_.jpg
4,"ARCTIC MX-4 (incl. Spatula, 4 g) - Premium Performance Thermal Paste for all processors (CPU, GPU - PC, PS4, XBOX), very high thermal conductivity, long durability, safe application, non-conductive",$8.99,$8.99,"47,972 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61fpmJ4k5aL._AC_SL1500_.jpg
5,"Seagate Portable 1TB External Hard Drive HDD – USB 3.0 for PC, Mac, PlayStation, & Xbox, 1-Year Rescue Service (STGX1000400) , Black",$49.99,$49.99,"236,552 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/81tjLksKixL._AC_SL1500_.jpg
6,"Seagate Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX5000400), Black",$104.99,$114.99,"236,552 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61I6kB2sD6L._AC_SL1468_.jpg
7,"SAMSUNG 870 EVO SATA III SSD 1TB 2.5” Internal Solid State Drive, Upgrade PC or Laptop Memory and Storage for IT Pros, Creators, Everyday Users, MZ-77E1T0B/AM",$79.99,$89.99,"25,956 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/911ujeCkGfL._AC_SL1500_.jpg
8,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25",$99.99,$249.99,"37,189 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71wtYi+0t0L._AC_SL1500_.jpg
9,"SAMSUNG 970 EVO Plus SSD 1TB NVMe M.2 Internal Solid State Hard Drive, V-NAND Technology, Storage and Memory Expansion for Gaming, Graphics w/ Heat Control, Max Speed, MZ-V7S1T0B/AM",$79.99,$99.99,"46,081 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71OYNmVRFhL._AC_SL1500_.jpg
10,"Toshiba Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB420XK3AA",$59.99,$59.99,"62,248 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/910A6B1Sa4L._AC_SL1500_.jpg
11,"SAMSUNG 980 PRO SSD 2TB PCIe NVMe Gen 4 Gaming M.2 Internal Solid State Drive Memory Card, Maximum Speed, Thermal Control, MZ-V8P2T0B",$189.99,$379.99,"22,528 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71KeDAkw+0L._AC_SL1500_.jpg
12,"SAMSUNG SSD T7 Portable External Solid State Drive 1TB, Up to 1050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",$99.99,$139.99,"22,587 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/91YfRIy7kYL._AC_SL1500_.jpg
13,SAMSUNG Electronics 870 EVO 2TB 2.5 Inch SATA III Internal SSD (MZ-77E2T0B/AM),$144.99,$259.99,"25,956 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/911ujeCkGfL._AC_SL1500_.jpg
14,"Western Digital 1TB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS100T3B0A",$59.99,$99.99,"41,194 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71HpqY5AJLL._AC_SL1500_.jpg
15,"Western Digital 1TB WD Blue SN570 NVMe Internal Solid State Drive SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, Up to 3,500 MB/s - WDS100T3B0C",$57.99,$109.99,"9,701 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61a+U9YhovL._AC_SL1500_.jpg
16,"SAMSUNG 870 EVO SATA SSD 500GB 2.5” Internal Solid State Drive, Upgrade PC or Laptop Memory and Storage for IT Pros, Creators, Everyday Users, MZ-77E500B/AM",$49.99,$59.99,"25,956 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/911ujeCkGfL._AC_SL1500_.jpg
17,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16),$46.99,$65.99,"75,321 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/41a2jzudKtL._AC_SL1006_.jpg
18,External CD Drive USB 3.0 Portable CD DVD +/-RW Drive DVD/CD ROM Rewriter Burner Writer Compatible with Laptop Desktop PC Windows Mac Pro MacBook,N/A,N/A,"33,196 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/6119b01xtTL._AC_SL1500_.jpg
19,"WD_BLACK 1TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS100T3X0E",$69.99,$129.99,"3,072 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/51vNa5DEr4L._AC_SL1100_.jpg
20,"WD 2TB Elements Portable HDD, External Hard Drive, USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN",$61.99,$61.99,"126,442 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/41fJs1xw6bL._AC_SL1080_.jpg
21,"Kingston 480GB A400 SATA 3 2.5"" Internal SSD SA400S37/480G - HDD Replacement for Increase Performance",$25.99,$32.99,"183,740 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/91RL+MhTWbL._AC_SL1500_.jpg
22,"Kingston 240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance",$17.99,$21.99,"183,740 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/91RL+MhTWbL._AC_SL1500_.jpg
23,"SanDisk 2TB Portable SSD - Up to 520MB/s, USB-C, USB 3.2 Gen 2 - SDSSDE30-2T00-G25",N/A,N/A,"3,800 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/51f+FaPiIKL._AC_SL1002_.jpg
24,Corsair 4000D Airflow Tempered Glass Mid-Tower ATX PC Case - Black,$94.99,$104.99,"9,877 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81hL4tPkXZL._AC_SL1500_.jpg
25,"SAMSUNG 980 SSD 1TB PCle 3.0x4, NVMe M.2 2280, Internal Solid State Drive, Storage for PC, Laptops, Gaming and More, HMB Technology, Intelligent Turbowrite, Speeds of up-to 3,500MB/s, MZ-V8V1T0B/AM",$97.21,$97.21,"15,914 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/715OCunnZfL._AC_SL1500_.jpg
26,"Seagate Portable 4TB External Hard Drive HDD – USB 3.0 for PC, Mac, Xbox, & PlayStation - 1-Year Rescue Service (STGX4000400)",$99.99,$99.99,"236,552 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71iIr9koTGL._AC_SL1500_.jpg
27,Corsair Vengeance LPX 32GB (2 X 16GB) DDR4 3600 (PC4-28800) C18 1.35V Desktop Memory - Black,$82.99,$117.99,"75,321 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/51DmAKBhmxL._AC_SL1200_.jpg
28,"WD 5TB Elements Portable HDD, External Hard Drive, USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0050BBK-WESN",$129.99,$129.99,"126,442 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61nnnmUQI5L._AC_SL1500_.jpg
29,"Crucial MX500 1TB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT1000MX500SSD1",$69.99,$99.99,"83,277 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81rg-38AdJL._AC_SL1500_.jpg
30,"Crucial BX500 1TB 3D NAND SATA 2.5-Inch Internal SSD, up to 540MB/s - CT1000BX500SSD1",$52.99,$89.99,"94,934 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61dPLkN4poL._AC_SL1050_.jpg
31,"Noctua NF-P12 redux-1700 PWM, High Performance Cooling Fan, 4-Pin, 1700 RPM (120mm, Grey)",N/A,N/A,"14,710 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81ZUUX5VZsL._AC_SL1500_.jpg
32,Crucial RAM 16GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT16G4SFRA32A,$41.99,$55.99,"21,764 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71oz85Vv6mL._AC_SL1500_.jpg
33,"Corsair Vengeance LPX 32GB (2X16GB) DDR4 3200 (PC4-25600) C16 1.35V Desktop Memory - Black, 2 count (pack of 1)",$83.99,$114.99,"75,321 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/518T3hrUY4L._AC_SL1200_.jpg
34,"AMD Ryzen 5 5600X 6-core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",$166.00,$309.00,"18,777 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/61vGQNUEsGL._AC_SL1384_.jpg
35,"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2XHE",$199.99,$309.99,"11,961 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71IZKPoBjOL._AC_SL1500_.jpg
36,"External Hard Drive 16TB, Portable Hard Drive 16TB - Ultra High-Speed SSD External Hard Drive with Reading Speeds up to 500Mb/s, 16 Terabyte External Hard Drive Storage for Mac/Windows",N/A,N/A,45 ratings,4.9 out of 5 stars,https://m.media-amazon.com/images/I/41glxp24pvL._AC_SL1080_.jpg
37,"SAMSUNG 980 PRO SSD with Heatsink 2TB PCIe Gen 4 NVMe M.2 Internal Solid State Drive, Heat Control, Max Speed, PS5 Compatible, MZ-V8P2T0CW",$199.90,$199.90,"22,528 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/81L3oXKJFFL._AC_SL1500_.jpg
