,title,new_price,list_price,rating,rating_count,img_url
0,"All-new Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, updated processor, great for movies and books, latest model (2022 release), Black",$59.99,$99.99,"2,077 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/619ewJaoMxL._AC_SL1000_.jpg
1,"Amazon Fire HD 10 inch tablet, 1080p Full HD, 64 GB, powerful octa-core processor, ready for downtime anytime, latest model (2021 release), Black",N/A,N/A,"103,137 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61aoLKgeqpL._AC_SL1000_.jpg
2,"Apple 2021 iPad Mini (Wi-Fi, 64GB) - Space Gray",N/A,N/A,"6,648 ratings",4.8 out of 5 stars,https://m.media-amazon.com/images/I/71ey-9D8yDL._AC_SL1500_.jpg
3,"Apple 2022 10.9-inch iPad (Wi-Fi, 64GB) - Pink (10th Generation)",N/A,N/A,"1,198 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61hZrbHRMWL._AC_SL1500_.jpg
4,"Amazon Fire 7 Kids tablet, 7"" display, ages 3-7, with ad-free content kids love, 2-year worry-free guarantee, parental controls, 16 GB, (2022 release), Blue",N/A,N/A,"5,277 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71+gbS6oTlL._AC_SL1500_.jpg
5,"All-new Amazon Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, includes 2-year worry-free guarantee, Kid-Proof Case, 32 GB, (2022 release), Blue",N/A,N/A,"1,520 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/613TzDiewcL._AC_SL1000_.jpg
6,"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet w/ LCD Screen, Long Lasting Battery, Kids Content, Smart Switch, Expandable Memory, US Version, Dark Gray",$139.99,$229.99,"11,499 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61krikJxTmL._AC_SL1200_.jpg
7,"All-new Amazon Fire HD 8 Kids Pro tablet, 8"" HD display, ages 6-12, 30% faster processor, 13 hours battery life, Kid-Friendly Case, 32 GB, (2022 release), Rainbow Universe",N/A,N/A,"1,035 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71QULxM4vlL._AC_SL1000_.jpg
8,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",$383.00,$959.00,"1,834 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61QGMX0Qy6L._AC_SL1352_.jpg
9,"Amazon Fire HD 8 tablet, 8"" HD display, 64 GB, (2020 release), designed for portable entertainment, Black",N/A,N/A,"169,131 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71FpwqhD+DL._AC_SL1500_.jpg
