,title,new_price,list_price,rating,rating_count,img_url
10,iPhone Charger 3 Pack 10 ft Apple MFi Certified Lightning Cable Nylon Braided Cable iPhone Charger Fast Charging Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE iPad and More,$8.49,$22.99,"2,822 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71hnUhUJJVL._SL1500_.jpg
11,iPhone Charger [Apple MFi Certified] 3pack 10FT Long Lightning Cable Fast Charging High Speed Data Sync USB Cable Compatible iPhone 13/12/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S (Grey White),$10.99,$23.99,"5,615 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71Va1BmmDkL._SL1500_.jpg
12,Amazon Basics Uni-Directional DisplayPort to HDMI Display Cable 4K@30Hz - 6 Feet,$3.88,$3.88,"48,812 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61lCmBR7q3L._AC_SL1500_.jpg
13,Amazon Basics RJ45 Cat-6 Ethernet Patch Internet Cable - 5 Foot (1.5 Meters),N/A,N/A,"117,783 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61Hewd49NFL._AC_SL1500_.jpg
14,[Apple MFi Certified] 6Pack 3/3/6/6/6/10 FT iPhone Charger Nylon Braided Fast Charging Lightning Cable Compatible iPhone 14 Pro/13 mini/13/12/11 Pro MAX/XR/XS/8/7/Plus/6S/SE/iPad,$10.19,$25.99,"23,020 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/81km6VdyE2L._SL1500_.jpg
15,"Original HP 63 Black Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U62AN",$22.89,$22.89,"83,280 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71MHmk6IbBL._AC_SL1500_.jpg
16,"Original HP 65 Black Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K02AN",$16.89,$16.89,"84,734 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71OxUHNuWgL._AC_SL1500_.jpg
17,"Original HP 67 Black Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM56AN",N/A,N/A,"31,349 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71b3HlAlA8S._AC_SL1500_.jpg
18,"Amazon Basics USB 2.0 Printer Cable - A-Male to B-Male Cord - 6 Feet (1.8 Meters), Black",N/A,N/A,"111,593 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71bhL-Kx6+L._AC_SL1500_.jpg
19,Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,N/A,N/A,"23,311 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61xgpXecLML._AC_SL1500_.jpg
20,"Logitech H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop - Black",N/A,N/A,"47,771 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_SL1500_.jpg
21,"Original HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",N/A,N/A,"47,310 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71zeXYQRMfL._AC_SL1500_.jpg
22,"Original HP 910 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN",N/A,N/A,"11,457 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/718rOMHM-bS._AC_SL1500_.jpg
23,"Original HP 910XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YL65AN",$41.89,$41.89,"14,445 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61N8mUd0-6L._AC_SL1000_.jpg
24,"Original HP 67XL Tri-color High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM58AN",N/A,N/A,"20,515 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/715Ohdd62gL._AC_SL1500_.jpg
25,"Uiosmuph LED Wireless Mouse, G12 Slim Rechargeable Wireless Silent Mouse, 2.4G Portable USB Optical Wireless Computer Mice with USB Receiver and Type C Adapter (Matte Black)",$12.99,$17.99,"56,080 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51KCV2cdDsS._AC_SL1500_.jpg
26,"[Apple MFi Certified] iPhone Fast Charger, 20W USB C Power Delivery Wall Charger Plug with 6ft Type C to Lightning Cable Quick Charging Data Sync Cord for iPhone14 13 12 11 Pro Max Mini Xs Xr X 8 iPad",N/A,N/A,"18,093 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51qzSTd-1BL._AC_SL1500_.jpg
27,"Original HP 65 Black/Tri-color Ink Cartridges (2-pack) | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | T0A36AN",$32.89,$32.89,"31,690 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61Fm4fnbnVL._AC_SL1500_.jpg
28,[Apple MFi Certified] iPhone Charger 3Pack 10FT Nylon Braided Lightning Cable Fast Charging iPhone Charger Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More,$6.98,$23.99,"2,391 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71aYP6Ie2BL._SL1500_.jpg
29,"Canon PG-243/ CL-244 Ink Multi pack, Compatible to TR4520, MX492, MG2520, MG2922, TS302 and TS202 Printers",N/A,N/A,"58,047 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/71zFeihP3xL._AC_SL1500_.jpg
