rank,asin_id,cat_id,asin_url
48,B0B3GQVKPN,172456,https://www.amazon.com/dp/B0B3GQVKPN
49,B088FSHMQ3,172456,https://www.amazon.com/dp/B088FSHMQ3
50,B07WPTG7NX,172456,https://www.amazon.com/dp/B07WPTG7NX
51,B07M6Y7355,172456,https://www.amazon.com/dp/B07M6Y7355
52,B07DC5PPFV,172456,https://www.amazon.com/dp/B07DC5PPFV
53,B01B6QGJ42,172456,https://www.amazon.com/dp/B01B6QGJ42
54,B07THJGZ9Z,172456,https://www.amazon.com/dp/B07THJGZ9Z
55,B087213LB3,172456,https://www.amazon.com/dp/B087213LB3
56,B07CPS16L4,172456,https://www.amazon.com/dp/B07CPS16L4
57,B08NM2GF2V,172456,https://www.amazon.com/dp/B08NM2GF2V
58,B0B1PR3TMD,172456,https://www.amazon.com/dp/B0B1PR3TMD
59,B07T5SY43L,172456,https://www.amazon.com/dp/B07T5SY43L
60,B081VHSB2V,172456,https://www.amazon.com/dp/B081VHSB2V
61,B07MCYDD62,172456,https://www.amazon.com/dp/B07MCYDD62
62,B071Y72MNW,172456,https://www.amazon.com/dp/B071Y72MNW
63,B01BYKD628,172456,https://www.amazon.com/dp/B01BYKD628
64,B08J4HJ98L,172456,https://www.amazon.com/dp/B08J4HJ98L
65,B09X7CRKRZ,172456,https://www.amazon.com/dp/B09X7CRKRZ
66,B07232M876,172456,https://www.amazon.com/dp/B07232M876
67,B072BYGKZZ,172456,https://www.amazon.com/dp/B072BYGKZZ
68,B09TQXKWST,172456,https://www.amazon.com/dp/B09TQXKWST
69,B00SW9JI9A,172456,https://www.amazon.com/dp/B00SW9JI9A
70,B09B1GXM16,172456,https://www.amazon.com/dp/B09B1GXM16
71,B07MK5DG9V,172456,https://www.amazon.com/dp/B07MK5DG9V
72,B082T6K8XX,172456,https://www.amazon.com/dp/B082T6K8XX
73,B00L1G7LBI,172456,https://www.amazon.com/dp/B00L1G7LBI
74,B076FPGWNZ,172456,https://www.amazon.com/dp/B076FPGWNZ
75,B06X6H2WF7,172456,https://www.amazon.com/dp/B06X6H2WF7
76,B08FBJYWTJ,172456,https://www.amazon.com/dp/B08FBJYWTJ
77,B01H6GUCCQ,172456,https://www.amazon.com/dp/B01H6GUCCQ
78,B09JR4B7TG,172456,https://www.amazon.com/dp/B09JR4B7TG
79,B01644VWZM,172456,https://www.amazon.com/dp/B01644VWZM
80,B005EJH6RW,172456,https://www.amazon.com/dp/B005EJH6RW
81,B00006HTZ0,172456,https://www.amazon.com/dp/B00006HTZ0
82,B01BYKV8FK,172456,https://www.amazon.com/dp/B01BYKV8FK
83,B07QLXC6QR,172456,https://www.amazon.com/dp/B07QLXC6QR
84,B00L1G7K50,172456,https://www.amazon.com/dp/B00L1G7K50
85,B075X7TFY5,172456,https://www.amazon.com/dp/B075X7TFY5
86,B0BG5N2BP1,172456,https://www.amazon.com/dp/B0BG5N2BP1
87,B00E58RQ4Q,172456,https://www.amazon.com/dp/B00E58RQ4Q
88,B07DVCGX7G,172456,https://www.amazon.com/dp/B07DVCGX7G
89,B074L9L5KZ,172456,https://www.amazon.com/dp/B074L9L5KZ
90,B01BYKEEFQ,172456,https://www.amazon.com/dp/B01BYKEEFQ
91,B085VT1VJT,172456,https://www.amazon.com/dp/B085VT1VJT
92,B0722C491T,172456,https://www.amazon.com/dp/B0722C491T
93,B00QXT5T3U,172456,https://www.amazon.com/dp/B00QXT5T3U
94,B07LF72431,172456,https://www.amazon.com/dp/B07LF72431
95,B08Y999HBF,172456,https://www.amazon.com/dp/B08Y999HBF
96,B09DV56338,172456,https://www.amazon.com/dp/B09DV56338
97,B09G5TSGXV,172456,https://www.amazon.com/dp/B09G5TSGXV
98,B087Z6LSHW,172456,https://www.amazon.com/dp/B087Z6LSHW
99,B09JW2194D,172456,https://www.amazon.com/dp/B09JW2194D
100,B09LCJPZ1P,172456,https://www.amazon.com/dp/B09LCJPZ1P
1,B07CRG94G3,193870011,https://www.amazon.com/dp/B07CRG94G3
2,B07MJW5BXZ,193870011,https://www.amazon.com/dp/B07MJW5BXZ
3,B0795DP124,193870011,https://www.amazon.com/dp/B0795DP124
4,B08HN37XC1,193870011,https://www.amazon.com/dp/B08HN37XC1
5,B07MFZXR1B,193870011,https://www.amazon.com/dp/B07MFZXR1B
6,B07CRG7BBH,193870011,https://www.amazon.com/dp/B07CRG7BBH
