asin_id,title,new_price,list_price,rating,rating_count,img_url
B079JLY5M5,"Logitech MK270 Wireless Keyboard And Mouse Combo For Windows, 2.4 GHz Wireless, Compact Mouse, 8 Multimedia And Shortcut Keys, For PC, Laptop - Black",N/A,N/A,"79,126 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/61pUul1oDlL._AC_SL1500_.jpg
B09D7NN6YZ,[Apple MFi Certified] 6Pack 3/3/6/6/6/10 FT iPhone Charger Nylon Braided Fast Charging Lightning Cable Compatible iPhone 14 Pro/13 mini/13/12/11 Pro MAX/XR/XS/8/7/Plus/6S/SE/iPad,$11.99,$25.99,"23,020 ratings",4.5 out of 5 stars,https://m.media-amazon.com/images/I/81km6VdyE2L._SL1500_.jpg
B00N2VILDM,Amazon Basics RJ45 Cat-6 Ethernet Patch Internet Cable - 5 Foot (1.5 Meters),$6.50,$6.50,"117,784 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61Hewd49NFL._AC_SL1500_.jpg
B015OW3M1W,Amazon Basics Uni-Directional DisplayPort to HDMI Display Cable 4K@30Hz - 6 Feet,N/A,N/A,"48,813 ratings",4.6 out of 5 stars,https://m.media-amazon.com/images/I/61lCmBR7q3L._AC_SL1500_.jpg
B01BYKUI9C,"Original HP 65 Black Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K02AN",N/A,N/A,"84,734 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71OxUHNuWgL._AC_SL1500_.jpg
B08Y1G3KRX,"[Apple MFi Certified] iPhone Fast Charger, 20W USB C Power Delivery Wall Charger Plug with 6ft Type C to Lightning Cable Quick Charging Data Sync Cord for iPhone14 13 12 11 Pro Max Mini Xs Xr X 8 iPad",N/A,N/A,"18,096 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51qzSTd-1BL._AC_SL1500_.jpg
B00WR23X5I,"Original HP 63 Black Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U62AN",N/A,N/A,"83,281 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71MHmk6IbBL._AC_SL1500_.jpg
B0BGX7GXJP,[Apple MFi Certified] iPhone Charger 3Pack 10FT Nylon Braided Lightning Cable Fast Charging iPhone Charger Cord Compatible with iPhone 13 12 11 Pro Max XR XS X 8 7 6 Plus SE and More,N/A,N/A,"2,397 ratings",4.3 out of 5 stars,https://m.media-amazon.com/images/I/71aYP6Ie2BL._SL1500_.jpg
B084131T6G,"Original HP 67 Black Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | 3YM56AN",N/A,N/A,"31,349 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71b3HlAlA8S._AC_SL1500_.jpg
B00NH11KIK,"Amazon Basics USB 2.0 Printer Cable - A-Male to B-Male Cord - 6 Feet (1.8 Meters), Black",N/A,N/A,"111,595 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71bhL-Kx6+L._AC_SL1500_.jpg
B087Z5WDJ2,Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,$21.85,$27.99,"23,315 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/61xgpXecLML._AC_SL1500_.jpg
B082T6DHB6,"Amazon Basics Nylon USB-A to Lightning Cable Cord, MFi Certified Charger for Apple iPhone 14 13 12 11 X Xs Pro, Pro Max, Plus, iPad, Dark Gray, 3-Ft",N/A,N/A,"70,123 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/51bL094WehL._AC_SL1302_.jpg
B00WJDWGA8,"Original HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",N/A,N/A,"47,311 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71zeXYQRMfL._AC_SL1500_.jpg
B088NRLMPV,"Anker USB C Cable, New Nylon USB C to USB C Cable (6ft 60W, 2-Pack, USB 2.0), USB C Cable for iPad Mini 6, iPad Pro 2020, iPad Air 4, MacBook Pro 2020, Samsung Galaxy S22,Switch, Pixel, LG (Black)",$10.55,$10.55,"27,740 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/71IE9dLBduL._SL1500_.jpg
B000UXZQ42,"Logitech H390 Wired Headset, Stereo Headphones with Noise-Cancelling Microphone, USB, In-Line Controls, PC/Mac/Laptop - Black",N/A,N/A,"47,775 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61CqYq+xwNL._AC_SL1500_.jpg
B07N3G1P55,"Original HP 910 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN",N/A,N/A,"11,457 ratings",4.7 out of 5 stars,https://m.media-amazon.com/images/I/718rOMHM-bS._AC_SL1500_.jpg
B0836GXKKB,"Uiosmuph LED Wireless Mouse, G12 Slim Rechargeable Wireless Silent Mouse, 2.4G Portable USB Optical Wireless Computer Mice with USB Receiver and Type C Adapter (Matte Black)",$12.99,$17.99,"56,083 ratings",4.4 out of 5 stars,https://m.media-amazon.com/images/I/51KCV2cdDsS._AC_SL1500_.jpg
